hambase_bytes_txd_rxd,hit_rate,drop_rate,retransmit_rate,avg_latency
1061624,0.0,0.19642857142857142,0.0,0.3201958
1015011,0.0,0.21367521367521367,0.0,0.2989541195652174
1089834,0.006134969325153374,0.2331288343558282,0.0,0.29291456000000016
1027992,0.009216589861751152,0.1889400921658986,0.0,0.2751058693181819
1004866,0.007782101167315175,0.1867704280155642,0.0,0.2740156459330144
963239,0.022435897435897436,0.15384615384615385,0.0,0.26669540530303026
416176,0.02857142857142857,0.13714285714285715,0.0,0.2654903741721854
1055366,0.028132992327365727,0.1432225063938619,0.0,0.27468704776119407
1062782,0.026785714285714284,0.16294642857142858,0.0,0.2822839813333334
1000880,0.025540275049115914,0.18467583497053044,0.0,0.2841421228915663
787533,0.032432432432432434,0.16936936936936936,0.0,0.27967956616052053
1043054,0.03782894736842105,0.15953947368421054,0.0,0.2716938003913893
1633927,0.04608294930875576,0.15668202764976957,0.0,0.2715372185792349
982198,0.05263157894736842,0.14509246088193456,0.0,0.27167561064891843
862689,0.05906040268456376,0.13691275167785236,0.0,0.2674669797822706
831505,0.062103929024081114,0.12927756653992395,0.0,0.26917282969432305
985978,0.060859188544152745,0.12171837708830549,0.0,0.26881688994565217
1036158,0.0654627539503386,0.11963882618510158,0.0,0.26866383974358976
1078966,0.0675818373812038,0.1341077085533263,0.0,0.26524216097560976
570148,0.069,0.127,0.0,0.26367882932416953
768056,0.07452830188679245,0.11981132075471698,0.0,0.2613052090032154
860427,0.08152173913043478,0.11503623188405797,0.0,0.25746782190378703
556783,0.08782608695652173,0.11043478260869566,0.0,0.2568833851417399
1015210,0.09030654515327258,0.11681855840927921,0.0,0.25755731613508437
602745,0.09761904761904762,0.11190476190476191,0.0,0.2569131367292225
961858,0.10450038138825324,0.10755148741418764,0.0,0.25578422478632484
563411,0.11061946902654868,0.10398230088495575,0.0,0.25521843374485603
977299,0.11205673758865248,0.1,0.0,0.25272649408983455
1014546,0.11263736263736264,0.09752747252747253,0.0,0.25244902283105025
1009365,0.11023622047244094,0.11286089238845144,0.0,0.255835473372781
680472,0.11596958174904944,0.10899873257287707,0.0,0.2535691422475106
848334,0.1193390452876377,0.10526315789473684,0.0,0.25354829274965784
599384,0.12381516587677725,0.1018957345971564,0.0,0.25260451253298133
1005312,0.12795389048991354,0.10086455331412104,0.0,0.25132358589743575
1104047,0.13053221288515407,0.09915966386554621,0.0,0.25994777674129343
600945,0.13435281267067176,0.09666848716548335,0.0,0.259168952237001
788300,0.13404255319148936,0.09414893617021276,0.0,0.25901625719318827
590610,0.138270326255826,0.09166235111341274,0.0,0.25764939965792455
910466,0.13938165230613278,0.08971109984794728,0.0,0.2570739253897548
561749,0.1412989588497769,0.08775409023301933,0.0,0.2558917119565216
948873,0.1411251212415131,0.08583899127061105,0.0,0.2565102509283818
876861,0.1434659090909091,0.08380681818181818,0.0,0.25546201085271303
905975,0.1495628163828808,0.08145421076852279,0.0,0.25274366432865714
573141,0.15200721695985567,0.07983761840324763,0.0,0.25180622303921546
1004703,0.15232660228270412,0.08516242317822652,0.0,0.2510890239923222
1019880,0.15368150684931506,0.0839041095890411,0.0,0.25290078551401834
909023,0.15677257525083613,0.08193979933110368,0.0,0.2550258529143897
855241,0.15759312320916904,0.08022922636103152,0.0,0.2557008451268357
436941,0.15806451612903225,0.07903225806451612,0.0,0.25581557661996485
630568,0.16101026045777428,0.07734806629834254,0.0,0.2550066621043625
1002968,0.1611905682257441,0.0776961731735601,0.0,0.25427928248113973
908063,0.16159695817490494,0.07642585551330798,0.0,0.2542130613421159
826728,0.16337187616560986,0.07497202536367027,0.0,0.25376752016129017
944147,0.1661807580174927,0.07325072886297376,0.0,0.25513539677546193
809252,0.16594827586206898,0.07219827586206896,0.0,0.2545673925667827
707632,0.16713681241184766,0.07087447108603667,0.0,0.25419457722960126
893854,0.16718695802983005,0.06971904266389178,0.0,0.25466007084265435
988373,0.16712235133287764,0.06869446343130553,0.0,0.25589943999999953
396405,0.16902834008097167,0.06781376518218624,0.0,0.2544710597176977
675222,0.17031872509960158,0.06673306772908366,0.0,0.2534669594450369
1032736,0.16878876918054195,0.07117205354227882,0.0,0.2541051398945513
649392,0.16929514000643708,0.07016414547795301,0.0,0.2545770785739004
759819,0.17136522014570796,0.069052898321191,0.0,0.25304260734943795
838744,0.17342482844666252,0.06799750467872738,0.0,0.25275575267737554
678060,0.17399323701198893,0.06701506301875192,0.0,0.25264220065897797
638478,0.17554479418886199,0.06598062953995157,0.0,0.2534440547634473
710377,0.17592592592592593,0.06511350059737156,0.0,0.2530602939297119
724672,0.17852941176470588,0.06411764705882353,0.0,0.25257803739786244
631218,0.1785402733352719,0.06339052050014539,0.0,0.25250692797267876
935427,0.18078129455374964,0.06216139150270887,0.0,0.2512948084524166
980653,0.18245515695067266,0.06109865470852018,0.0,0.25025092895522344
1029461,0.1824736550194121,0.06156405990016639,0.0,0.25059852718676073
857528,0.18303327877795963,0.060556464811783964,0.0,0.25112450958188104
1000770,0.1826716738197425,0.0625,0.0,0.25101399313304673
609464,0.1830238726790451,0.06180371352785146,0.0,0.2511372728300815
522830,0.18334206390780514,0.06102671555788371,0.0,0.25058904323570386
692928,0.18346721948691372,0.06037833635656906,0.0,0.2510316516822941
1002981,0.18433179723502305,0.06016385048643113,0.0,0.2507058411876868
625260,0.18585858585858586,0.059343434343434344,0.0,0.2501162587919459
473693,0.18696954568147778,0.05866200698951573,0.0,0.2489495600636432
862827,0.1877772301626417,0.05791030064070971,0.0,0.24851721187549006
548867,0.18845872899926955,0.057219381543705865,0.0,0.24772060614669386
637398,0.189410348977136,0.056558363417569195,0.0,0.24733994413265278
1017795,0.18883610451306412,0.057482185273159146,0.0,0.24714270262096746
601783,0.19031954887218044,0.0568609022556391,0.0,0.24728523592426482
1008715,0.19000231427910205,0.05878268919231659,0.0,0.24644128227194473
1001296,0.189368012776637,0.06274241387177733,0.0,0.24643915968841262
781246,0.1897251013970257,0.06196484903109509,0.0,0.24973276267115038
1015170,0.19133333333333333,0.06266666666666666,0.0,0.24882796870554738
905414,0.1913770347558293,0.062032556093268805,0.0,0.24882254901500916
708384,0.19238302502720347,0.061371055495103376,0.0,0.2486235624855088
1088043,0.19228281957318388,0.062297909032118993,0.0,0.2488794478160917
