hambase_bytes_txd_rxd,hit_rate,drop_rate,retransmit_rate,avg_latency
1032875,0.0,0.1,0.06,0.42493364444444454
1104116,0.0,0.058823529411764705,0.0392156862745098,0.4686346145833331
1023396,0.006211180124223602,0.08695652173913043,0.049689440993788817,0.42219159183673444
1022222,0.009523809523809525,0.1380952380952381,0.0380952380952381,0.4061323038674031
949596,0.022813688212927757,0.11026615969581749,0.04182509505703422,0.380632329059829
908553,0.0231023102310231,0.09570957095709572,0.0429042904290429,0.38331893065693423
1033165,0.02881844380403458,0.08645533141210375,0.043227665706051875,0.37613467823343844
830650,0.035175879396984924,0.07537688442211055,0.03768844221105527,0.3681142853260868
456603,0.04954954954954955,0.06756756756756757,0.033783783783783786,0.3463114637681158
832318,0.05668016194331984,0.06072874493927125,0.030364372469635626,0.3352525581896549
751881,0.06691449814126393,0.055762081784386616,0.031598513011152414,0.3336385826771652
1000834,0.07495741056218058,0.05792163543441227,0.030664395229982964,0.32581019891500884
499529,0.08771929824561403,0.05422647527910686,0.028708133971291867,0.31506934907251244
781585,0.09090909090909091,0.05067064083457526,0.029806259314456036,0.31547641287284117
819921,0.09141274238227147,0.04709141274238227,0.029085872576177285,0.310607177325581
892644,0.09622886866059818,0.044213263979193757,0.02860858257477243,0.3095389455782309
1003619,0.09879518072289156,0.04216867469879518,0.03253012048192771,0.30851678364779833
597921,0.10364464692482915,0.03986332574031891,0.030751708428246014,0.3026427034400945
930920,0.1041890440386681,0.03759398496240601,0.02900107411385607,0.29967097098214257
1022014,0.10642570281124498,0.045180722891566265,0.029116465863453816,0.30693629863301747
690878,0.10909090909090909,0.0430622009569378,0.028708133971291867,0.3025940099999997
841486,0.11689497716894977,0.0410958904109589,0.0273972602739726,0.2967712523809521
1008783,0.12017543859649123,0.05087719298245614,0.027192982456140352,0.2958764953789277
650229,0.1257383966244726,0.048945147679324896,0.026160337552742614,0.2951189645075418
700685,0.12987012987012986,0.04707792207792208,0.025162337662337664,0.2929225604770015
706811,0.13338533541341654,0.0452418096723869,0.02418096723868955,0.2902874852941173
1020231,0.13517550410754295,0.05078416728902166,0.02389843166542196,0.28879970495672663
760618,0.1377072819033886,0.049026676279740444,0.023071377072819033,0.2900543047763455
901574,0.1397923875432526,0.047058823529411764,0.022837370242214532,0.28745691067538104
885555,0.13834788448623236,0.04566823371390195,0.02350570852921424,0.28921456509500343
1072881,0.1405335068314899,0.0468445022771633,0.026024723487312947,0.2879596750853241
563308,0.14367088607594936,0.04556962025316456,0.026582278481012658,0.2866707586206895
554679,0.14839901477832512,0.04433497536945813,0.02647783251231527,0.28365611146907194
592830,0.15176964607078583,0.04319136172765447,0.026394721055788842,0.28362434482758603
830216,0.15774155995343422,0.04190919674039581,0.02677532013969732,0.2818827381530983
687633,0.15897435897435896,0.041025641025641026,0.02735042735042735,0.281906194890077
1037909,0.16002214839424142,0.04152823920265781,0.029346622369878183,0.285400127094165
585431,0.1615343057806591,0.04051863857374392,0.029173419773095625,0.28388691891891876
906402,0.16227608008429925,0.03951527924130664,0.030031612223393046,0.2857466006582555
668976,0.16494312306101344,0.03877973112719752,0.029472595656670115,0.2831712694997308
685362,0.1660759493670886,0.0379746835443038,0.030379746835443037,0.28354629631578926
728865,0.166584280771132,0.03707365299060801,0.030153237765694514,0.28216241683778204
580523,0.16820164808531265,0.036354823073194376,0.02956858943286476,0.28101133601609624
874249,0.1683262209577999,0.03556187766714083,0.031294452347083924,0.2830949891838736
866117,0.16844053678852383,0.034706154558074964,0.03146691346598797,0.28632686768935695
795160,0.1676457297785811,0.03389064618165386,0.031631269769543606,0.2876282530402238
1119642,0.16725352112676056,0.03829225352112676,0.032130281690140844,0.2890287144164754
896485,0.1684572410829394,0.03738719381177482,0.03180060163300387,0.2875619183035709
964964,0.16967660646787064,0.036539269214615706,0.03275934481310374,0.28730775632083655
673296,0.17004551096400497,0.0359950351675631,0.032685146876292925,0.2881924905579395
816469,0.17003231017770598,0.035137318255250405,0.033521809369951534,0.2890714202595223
852226,0.1714172604908947,0.0344418052256532,0.03285827395091053,0.28974982738827343
