bit error rate,received error rate
0.19,0.123355
0.20,0.110197
0.21,0.100329
0.22,0.154605
0.23,0.164474
0.24,0.126645
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
0.9,0
0.10,0
0.11,0
0.13,0
0.14,0
0.15,0
0.16,0.117517
0.17,0.0855263
0.18,0.143092
0.19,0.144737
0.20,0.0986842
0.21,0.167763
0.22,0.15625
0.23,0.177632
0.24,0.157895
0.25,0.141447
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
0.9,0
0.10,0
0.11,0
0.13,0
0.14,0
0.15,0
0.16,0
0.17,0.113487
0.18,0.134868
0.19,0.126645
0.20,0.103618
0.21,0.0855263
0.22,0.113487
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
0.9,0
0.10,0
0.11,0
0.13,0
0.14,0
0.15,0.0180921
0.16,0.0342679
0.17,0.113487
0.18,0.0559211
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
0.9,0
0.10,0
0.11,0
0.13,0
0.14,0
0.15,0.130841
0.16,0.0822368
0.17,0.0921053
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
0.9,0
0.10,0
0.11,0
0.13,0
0.14,0
0.15,0
0.16,0.0509868
0.17,0.138158
0.18,0.00623053
0.19,0.0559211
0.20,0.105263
0.21,0.116776
0.22,0.138158
0.23,0.131579
0.24,0.169408
0.25,0.161184
0.26,0.1875
0.27,0.212171
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
0.9,0
0.10,0
0.11,0
0.13,0
0.14,0
0.15,0
0.16,0.00311526
0.17,0.00623053
0.18,0.123355
0.19,0.0342679
0.20,0.139803
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
0.9,0
0.10,0
0.11,0
0.13,0
0.14,0
0.15,0
0.16,0
0.17,0.0249221
0.18,0.0888158
0.19,0.0855263
0.20,0.128289
0.21,0.167763
0.22,0.152961
0.23,0.134868
0.24,0.152961
0.25,0.154605
0.26,0.157895
0.27,0.134868
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
0.9,0
0.10,0
0.11,0
0.13,0
0.14,0
0.15,0
0.16,0.0526316
0.17,0
0.18,0.0888158
0.19,0.00623053
0.20,0.120066
0.21,0.110197
0.22,0.152961
0.23,0.123355
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
0.9,0
0.10,0
0.11,0
0.13,0
0.14,0
0.15,0.0280374
0.16,0
0.17,0.105263
0.18,0.0124611
0.19,0.0740132
0.20,0.0311526
0.21,0.123355
0.22,0.149671
0.23,0.169408
0.24,0.133224
0.25,0.172697
0.26,0.159539
0.27,0.169408
0.28,0.166118
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
0.9,0
0.10,0
0.11,0
0.13,0
0.14,0
0.15,0
0.16,0
0.17,0.0328947
0.18,0.0311526
0.19,0.175987
0.20,0.151316
0.21,0.125
0.22,0.116776
0.23,0.129934
0.24,0.166118
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
0.9,0
0.10,0
0.11,0
0.13,0
0.14,0.0780781
0.15,0.0427632
0.16,0.0218069
0.17,0.0831099
0.18,0.140762
0.19,0.0822368
0.20,0.0124611
0.21,0.120066
0.22,0.157895
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
0.9,0
0.10,0
0.11,0
0.13,0
0.14,0
0.15,0
0.16,0
0.17,0
0.18,0.131579
0.19,0.0526316
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
0.9,0
0.10,0
0.11,0
0.13,0
0.14,0
0.15,0
0.16,0
0.17,0.103618
0.18,0.183801
0.19,0.149671
0.20,0.113487
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
0.9,0
0.10,0
0.11,0
0.13,0
0.14,0
0.15,0
0.16,0.0641447
0.17,0.0218069
0.18,0.120066
0.19,0.267913
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
0.9,0
0.10,0
0.11,0
0.13,0
0.14,0
0.15,0
0.16,0
0.17,0.0493421
0.18,0.106908
0.19,0.271028
0.20,0.0953947
0.21,0.106908
0.22,0.139803
0.23,0.15625
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
0.9,0
0.10,0
0.11,0
0.13,0
0.14,0
0.15,0
0.16,0.0657895
0.17,0.0279605
0.18,0.0904605
0.19,0.00623053
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
0.9,0
0.10,0
0.11,0
0.13,0
0.14,0
0.15,0
0.16,0.00934579
0.17,0.0249221
0.18,0.102804
0.19,0.121711
0.20,0.0855263
0.21,0.152961
0.22,0.133224
0.23,0.157895
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
0.9,0
0.10,0
0.11,0
0.13,0
0.14,0
0.15,0
0.16,0
0.17,0.0460526
0.18,0.0970395
0.19,0.145833
0.20,0.0904605
0.21,0.141447
0.22,0.179276
0.23,0.169408
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
0.9,0
0.10,0
0.11,0
0.13,0
0.14,0
0.15,0
0.16,0
0.17,0.0740132
0.18,0.103618
0.19,0.0953947
0.20,0.0186916
0.21,0.100329
0.22,0.0155763
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
0.9,0
0.10,0
0.11,0
0.13,0
0.14,0
0.15,0.00822368
0.16,0
0.17,0.103618
0.18,0.0970395
0.19,0.157895
0.20,0.120066
0.21,0.115132
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
0.9,0
0.10,0
0.11,0
0.13,0
0.14,0
0.15,0.0249221
0.16,0
0.17,0.0526316
0.18,0.0740132
0.19,0.108553
0.20,0.135667
0.21,0.115132
0.22,0.120066
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
0.9,0
0.10,0
0.11,0
0.13,0
0.14,0
0.15,0.131579
0.16,0
0.17,0.0822368
0.18,0.105263
0.19,0.151316
0.20,0.103618
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
0.9,0
0.10,0
0.11,0
0.13,0
0.14,0
0.15,0
0.16,0.00934579
0.17,0.0311526
0.18,0.0825688
0.19,0.105263
0.20,0.108553
0.21,0.125
0.22,0.118421
0.23,0.144737
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
0.9,0
0.10,0
0.11,0
0.13,0
0.14,0
0.15,0
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
0.9,0
0.10,0
0.11,0
0.13,0
0.14,0
0.15,0
0.16,0.0155763
0.17,0.105263
0.18,0.0888158
0.19,0.134868
0.20,0.136513
0.21,0.113487
0.22,0.151316
0.23,0.174342
0.24,0.154605
0.25,0.175987
0.26,0.174342
0.27,0.179276
0.28,0.205592
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
0.9,0
0.10,0
0.11,0
0.13,0
0.14,0
0.15,0.00623053
0.16,0.00934579
0.17,0.134868
0.18,0.09375
0.19,0.0218069
0.20,0.0855263
0.21,0.151316
0.22,0.194079
0.23,0.179276
0.24,0.154605
0.25,0.152961
0.26,0.177632
0.27,0.161184
0.28,0.195724
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
0.9,0
0.10,0
0.11,0
0.13,0
0.14,0
0.15,0.0311526
0.16,0
0.17,0
0.18,0.126645
0.19,0.108553
0.20,0.100329
0.21,0.154605
0.22,0.111842
0.23,0.133224
0.24,0.164474
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
0.9,0
0.10,0
0.11,0
0.13,0
0.14,0
0.15,0
0.16,0
0.17,0.00934579
0.18,0.108553
0.19,0.115132
0.20,0.169408
0.21,0.138158
0.22,0.171053
0.23,0.125
0.24,0.162829
0.25,0.164474
0.26,0.164474
0.27,0.190789
0.28,0.197368
0.29,0.161184
0.30,0.192434
0.31,0.189145
0.32,0.174342
0.33,0.174342
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
0.9,0
0.10,0
0.11,0
0.13,0
0.14,0
0.15,0
